,codimap_category,codimap_title,codimap_date,views,comment_numbers
0,캐주얼,톤온톤 코디,21.07.02,"16,057",49
1,캐주얼,블랙 매니아,21.02.23,"34,672",46
2,캐주얼,오늘의 코디,22.03.22,"12,200",38
3,댄디,추천 댄디 룩,21.09.15,"20,186",27
4,캐주얼,릴랙스 룩,21.02.23,"23,538",22
5,스트릿,힙하다 힙해,21.02.03,"35,288",21
6,캐주얼,심플한 코디,21.07.30,"39,577",18
7,댄디,데이트 코디,21.12.24,"10,311",18
8,댄디,훈훈 남친 룩,21.03.24,"19,345",16
9,캐주얼,지금 입기 좋아,21.08.31,"20,214",16
10,댄디,서머 데이트 룩,21.07.26,"7,857",15
11,댄디,남친 룩으로 제격,21.12.24,"9,649",14
12,포멀,깔끔하게 즐겨,21.11.09,"6,311",13
13,아메리칸 캐주얼,남다른 감각,21.11.17,"4,334",11
14,캐주얼,편안함의 완성,21.10.04,"19,422",11
15,캐주얼,원 마일 웨어,21.10.08,"16,781",10
16,아메리칸 캐주얼,아메리칸 캐주얼,21.12.21,"4,492",10
17,캐주얼,편하게 완성,21.07.21,"14,979",10
18,캐주얼,레이어드의 매력,21.06.04,"12,671",9
19,포멀,매력적인 포멀 룩,21.09.17,"11,335",9
20,댄디,레이어드의 매력,21.11.23,"10,161",8
21,캐주얼,발랄함 가득!,21.07.05,"3,137",8
22,댄디,남친 룩의 정석,20.11.04,"16,267",8
23,포멀,손색 없는 단정함,21.11.12,"3,156",8
24,시크,시크한 감각,21.08.20,"3,714",8
25,캐주얼,서머 캠퍼스 룩,22.07.19,"3,132",8
26,캐주얼,꾸안꾸 코디,22.11.04,"3,872",8
27,포멀,깔끔한 매력,21.03.08,"13,728",8
28,캐주얼,러블리 캐주얼,20.11.18,"9,416",7
29,캐주얼,캠퍼스 룩,21.07.12,"7,340",7
30,캐주얼,오늘의 무드,21.12.06,"6,959",7
31,캐주얼,캐주얼 룩의 정석,20.11.06,"16,152",7
32,캐주얼,잘 고른 재킷,20.10.28,"20,260",7
33,포멀,단정한 모습,21.11.26,"5,650",7
34,댄디,훈훈한 스타일,21.12.29,"3,513",7
35,아메리칸 캐주얼,실패 없는 코디,21.06.11,"8,269",6
36,캐주얼,피크닉 가자!,21.08.20,"2,693",6
37,댄디,데이트하는 날,21.09.07,"16,907",6
38,댄디,레더 스타일링,21.09.28,"8,151",6
39,아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"6,998",6
40,캐주얼,귀여운 프레피 룩,21.06.04,"12,145",6
41,캐주얼,남친 룩 추천,21.06.11,"10,873",6
42,아메리칸 캐주얼,아메카지 무드,22.06.17,"4,686",6
43,로맨틱,레트로 스타일링,21.05.17,"2,295",6
44,포멀,깔끔한 연출,21.11.10,"3,572",6
45,포멀,클래식한 실루엣,21.01.15,"4,236",6
46,포멀,완벽한 스타일링,21.09.15,"3,984",6
47,캐주얼,멋 내는 방법,21.07.02,"5,894",5
48,걸리시,귀여운 매치,21.05.17,"1,916",5
49,스트릿,스트릿 무드,21.09.06,"4,284",5
50,캐주얼,캐주얼 룩의 정석,21.03.12,"10,975",5
51,스트릿,스트라이프 활용법,21.02.19,"2,798",5
52,걸리시,누구나 반해,21.12.24,"4,542",5
53,포멀,데이트 룩 완성!,21.02.08,"10,456",5
54,캐주얼,편하게 멋 내봐,21.09.08,"11,398",5
55,댄디,레이어드 코디,21.06.10,"2,567",5
56,캐주얼,그린 포인트!,21.05.28,"5,428",5
57,캐주얼,트렌디해!,21.12.24,"2,701",5
58,캐주얼,가볍게 툭!,21.05.31,"3,435",5
59,캐주얼,레트로 무드,21.03.12,"11,479",5
